fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.43565,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.39472,0.01,0.01071,0.93404,0.0,2.76446,0.60478,7.5395,0.36867,1.4932,0.01197,0.6991,0.4032,0.00411,0.09293,0.49038,0.0,0.001,0.00249,0.51702,0.0,0.99504,0.01428,0.00127,0.00159,10
0.39913,0.00777,0.01,0.93743,0.0,2.26773,0.82726,11.35986,0.49808,1.75566,0.025,0.71458,0.38521,0.0,0.10527,0.49943,0.0,0.001,0.00019,0.71001,0.0,1.0,0.0,0.0,0.0,10
0.37278,0.01,0.01,0.8933,0.001,3.00797,0.79741,7.50131,0.44045,1.3928,0.01277,0.75068,0.3951,0.0,0.10165,0.42783,0.00213,0.001,0.0,0.49606,0.0023,1.0,0.0,0.00527,0.00537,10
0.37743,0.00853,0.01115,0.93592,0.001,2.38056,0.7914,8.10858,0.3905,2.25116,0.01472,0.70995,0.38614,0.00167,0.10241,0.49735,0.0,0.001,0.00256,0.5912,0.00441,1.0,0.01251,0.0,0.0,10
0.48593,0.00205,0.0125,0.91114,0.00053,2.88712,0.72597,7.53761,0.33221,1.20704,0.01532,0.69915,0.39995,0.00408,0.10221,0.43479,0.0,0.0,0.00246,0.47535,0.0,0.82468,0.00386,0.00124,0.0,9
0.42876,0.00713,0.01119,0.93972,0.00049,2.7234,0.7435,11.28972,0.36097,1.42366,0.02287,0.71503,0.42328,0.00147,0.10381,0.40862,0.0,0.00014,0.00214,0.52102,0.0,1.0,0.00081,0.00117,0.0,10
0.46223,0.00196,0.01272,0.9284,3e-05,2.94239,0.76069,6.36665,0.33791,1.52595,0.01571,0.69097,0.4422,0.00073,0.10227,0.49294,0.00276,0.0,0.0,0.40585,0.00186,0.90418,0.01299,0.00084,0.0002,8
0.40414,0.01,0.02078,0.91952,0.00088,3.10504,0.82573,6.67888,0.49963,1.12377,0.02653,0.70721,0.49332,0.00477,0.10163,0.5824,0.00053,2e-05,0.00215,0.50041,0.00312,0.84254,0.02071,0.0,0.0,8
0.39084,0.00122,0.01621,0.97567,0.001,3.98285,0.95,6.54847,0.37994,1.52057,0.01479,0.69078,0.47399,0.00439,0.10664,0.62681,0.0,0.00073,0.00202,0.42158,0.00153,0.81206,0.01224,0.00079,1e-05,8
0.45089,0.00062,0.01,0.91429,0.00063,2.5197,0.84665,7.30303,0.33215,2.75488,0.01904,0.9,0.3005,0.00131,0.11466,0.44582,0.00303,0.00066,0.00056,0.48067,0.00016,1.0,0.00379,0.00033,0.00051,9
0.41063,0.00657,0.02016,0.91372,0.00088,3.26716,0.89483,11.01462,0.51251,1.41485,0.01834,0.9,0.44993,0.0032,0.09969,0.49407,0.00099,0.0007,0.0,0.32773,0.0015,0.98014,0.01201,0.00137,0.0008,8
0.47202,0.00077,0.01272,0.86837,0.001,3.1719,0.72087,9.30164,0.63095,2.79498,0.02037,0.88265,0.53055,0.00424,0.10073,0.38102,0.00041,0.00038,0.0,0.31652,0.0,0.90152,0.00509,0.0006,0.00012,10
0.45116,0.00444,0.01,0.92328,0.00062,2.33961,0.83013,6.83643,0.53691,1.10086,0.01696,0.74907,0.30404,0.00022,0.11135,0.4219,0.0,0.00076,0.00167,0.35826,0.00012,0.83871,0.00036,0.00189,0.00057,10
0.43663,0.00869,0.01018,0.86,0.001,2.89656,0.7401,11.68605,0.54704,3.39663,0.02328,0.9,0.4991,0.00576,0.10362,0.37723,0.00035,0.00045,0.00102,0.22431,0.00261,0.68425,0.00608,0.00068,9e-05,10
0.45317,0.00398,0.01148,0.92047,0.00063,3.07434,0.82454,11.34095,0.63271,1.42458,0.01905,0.65077,0.50928,0.00439,0.11776,0.54578,0.00288,0.00039,0.00103,0.16992,0.0,0.90043,0.00705,0.00093,0.00058,9
0.46843,0.00265,0.01,0.89691,0.00015,2.4622,0.81827,9.69957,0.39549,2.37586,0.01397,0.78981,0.46808,0.00053,0.10673,0.45217,0.00022,0.00052,0.00336,0.4069,0.0,0.77351,0.00068,0.00152,0.00056,7
0.41405,0.00385,0.01124,0.84649,0.00017,3.10124,0.79274,8.17071,0.62182,1.90889,0.01483,0.76179,0.37344,0.00186,0.10678,0.56019,0.00324,0.00053,0.00025,0.48645,0.0005,0.74137,0.01098,0.00128,0.0,9
