epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0945,1.64083,2.48458,0.02156,0.0138,0.77659,0.18968,0.0625,2.02691,2.22839,0.03622,0.000704688,0.000704688,0.0663297
2,61.826,1.61394,1.72028,0.02097,0.53237,0.29708,0.31553,0.1198,1.66593,1.80128,0.02665,0.00141299,0.00141299,0.0323505
3,90.373,1.6452,1.62863,0.02205,0.37398,0.30809,0.26969,0.10517,1.90684,1.6951,0.03235,0.0020419,0.0020419,0.0020419
4,118.511,1.58983,1.53095,0.02091,0.52975,0.45369,0.42103,0.20839,1.63643,1.44541,0.02834,0.00203785,0.00203785,0.00203785
5,147.132,1.56977,1.41031,0.02027,0.67725,0.45449,0.5321,0.27967,1.51335,1.18639,0.02595,0.00203381,0.00203381,0.00203381
6,175.02,1.58292,1.34405,0.02097,0.79162,0.30538,0.45443,0.21248,1.70783,1.35983,0.02832,0.00202976,0.00202976,0.00202976
7,203.435,1.56506,1.30662,0.02029,0.44867,0.61615,0.58057,0.27527,1.79763,1.08609,0.03296,0.00202571,0.00202571,0.00202571
8,231.441,1.55914,1.28556,0.01981,0.77769,0.44192,0.57905,0.26451,1.85775,1.15566,0.0302,0.00202166,0.00202166,0.00202166
9,259.9,1.54986,1.24475,0.02023,0.56121,0.66536,0.60045,0.30544,1.84433,0.96469,0.02895,0.00201761,0.00201761,0.00201761
10,288.861,1.57983,1.2306,0.02034,0.80002,0.48852,0.63318,0.37691,1.4014,1.05264,0.02064,0.00201356,0.00201356,0.00201356
11,318.26,1.55802,1.19567,0.01982,0.87346,0.54197,0.7034,0.34503,1.67893,0.97978,0.02799,0.00200951,0.00200951,0.00200951
12,345.357,1.56267,1.1624,0.01969,0.72288,0.72418,0.79716,0.43538,1.52584,0.87063,0.02657,0.00200546,0.00200546,0.00200546
13,374.189,1.55405,1.15508,0.01978,0.57265,0.60249,0.69454,0.30477,1.81238,1.1187,0.02915,0.00200141,0.00200141,0.00200141
14,403.099,1.57,1.14176,0.01966,0.75126,0.69322,0.73238,0.38054,1.59864,0.96308,0.0263,0.00199737,0.00199737,0.00199737
15,430.742,1.52954,1.1233,0.01954,0.51417,0.68462,0.68936,0.34765,1.55655,0.99745,0.02622,0.00199332,0.00199332,0.00199332
16,459.076,1.55169,1.11302,0.02015,0.77986,0.6013,0.7189,0.39187,1.59446,0.8437,0.02687,0.00198927,0.00198927,0.00198927
17,487.099,1.52766,1.13274,0.0196,0.54212,0.6832,0.66028,0.3136,1.74513,1.00251,0.02958,0.00198522,0.00198522,0.00198522
18,515.514,1.53031,1.10282,0.01952,0.66644,0.65398,0.73777,0.36246,1.52861,0.98755,0.02446,0.00198117,0.00198117,0.00198117
19,543.177,1.49579,1.06732,0.01912,0.49267,0.6949,0.64483,0.33785,1.6565,0.82618,0.02818,0.00197712,0.00197712,0.00197712
20,570.491,1.51803,1.10552,0.01917,0.80092,0.52195,0.66844,0.33239,1.72501,0.93416,0.02817,0.00197307,0.00197307,0.00197307
21,598.322,1.51558,1.05894,0.01959,0.62515,0.73294,0.70166,0.3672,1.71834,0.85826,0.02839,0.00196903,0.00196903,0.00196903
22,627.2,1.5287,1.07871,0.01934,0.64787,0.70424,0.71415,0.37299,1.66277,0.81884,0.02714,0.00196498,0.00196498,0.00196498
23,655.755,1.49281,1.06413,0.01872,0.6574,0.67802,0.75092,0.40331,1.41419,0.95267,0.02178,0.00196093,0.00196093,0.00196093
24,685.401,1.49033,1.03766,0.01932,0.66419,0.70039,0.72987,0.37612,1.5817,0.83921,0.02522,0.00195688,0.00195688,0.00195688
25,714.203,1.49892,1.03915,0.01876,0.56354,0.69936,0.67262,0.38566,1.54544,0.87026,0.02504,0.00195283,0.00195283,0.00195283
26,746.048,1.50889,1.05872,0.01904,0.67386,0.64792,0.74492,0.39349,1.62611,0.86687,0.02652,0.00194878,0.00194878,0.00194878
27,775.624,1.49904,1.02537,0.01933,0.65863,0.76798,0.78643,0.44016,1.52042,0.76554,0.02379,0.00194473,0.00194473,0.00194473
28,803.987,1.48845,1.02904,0.01875,0.56487,0.66839,0.69116,0.35594,1.58816,0.94158,0.02627,0.00194068,0.00194068,0.00194068
29,833.118,1.47179,1.02753,0.01818,0.68112,0.72609,0.78772,0.44052,1.46176,0.73891,0.02235,0.00193664,0.00193664,0.00193664
30,862.943,1.4949,1.00483,0.0189,0.62407,0.79303,0.79287,0.44659,1.48452,0.72167,0.02324,0.00193259,0.00193259,0.00193259
