epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,46.9938,1.5719,5.53543,0.02416,0.88697,0.03922,0.1897,0.09497,1.38101,4.56239,0.02656,0.00990991,0.0033033,0.00990991,0.0033033,0.00990991,0.0033033,0.00990991,0.0033033
2,86.7751,1.39585,4.29254,0.02054,0.67782,0.37207,0.52106,0.21054,1.57187,2.66029,0.02977,0.0198705,0.0066235,0.0198705,0.0066235,0.0198705,0.0066235,0.0198705,0.0066235
3,122.07,1.44995,3.24714,0.02133,0.65851,0.33597,0.43356,0.1966,1.5675,2.38885,0.03359,0.0297915,0.00993049,0.0297915,0.00993049,0.0297915,0.00993049,0.0297915,0.00993049
4,153.946,1.49786,2.67609,0.02277,0.96277,0.05882,0.10165,0.04606,1.98778,3.78653,0.04259,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,184.993,1.53675,2.28468,0.02321,0.37891,0.22079,0.26314,0.12526,1.83979,2.55804,0.03791,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,214.823,1.52625,2.12149,0.0232,0.60449,0.19545,0.28546,0.1118,2.02976,3.12129,0.04376,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,244.058,1.54498,1.97696,0.02314,0.93759,0.03922,0.1399,0.04844,2.25771,3.79515,0.05134,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,272.856,1.52024,1.88264,0.02272,0.77837,0.53025,0.64563,0.33234,1.61094,1.54095,0.03223,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,303.885,1.52162,1.85375,0.02276,0.6638,0.55011,0.60985,0.32201,1.6645,1.58468,0.0341,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,334.138,1.53541,1.77437,0.02274,0.57994,0.50486,0.58628,0.30591,1.71636,1.81812,0.03322,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,364.119,1.52854,1.74371,0.02314,0.52717,0.55399,0.56594,0.26158,1.95802,1.7911,0.04505,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,394.1,1.52386,1.71295,0.02297,0.73757,0.54627,0.67077,0.34269,1.74821,1.5305,0.03475,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,426.297,1.52715,1.65701,0.02293,0.59317,0.64895,0.69148,0.42204,1.48752,1.38239,0.02771,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,461.096,1.52699,1.61477,0.02256,0.67355,0.5843,0.68239,0.37259,1.55501,1.28349,0.03168,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,495.279,1.50238,1.62675,0.02249,0.4702,0.60852,0.59535,0.32581,1.61513,1.44771,0.03372,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,528.101,1.50451,1.58134,0.0228,0.68457,0.22744,0.29071,0.12407,2.1623,3.31966,0.04845,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,563.333,1.50413,1.58197,0.02202,0.70078,0.40294,0.55921,0.24196,1.78577,1.98427,0.03502,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
