fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.40317,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.33606,1e-05,0.01,0.93345,0.001,2.99672,0.83902,6.84332,0.50346,1.50132,0.01294,0.68914,0.32019,0.00674,0.10015,0.46822,0.0,0.001,0.0,0.65066,0.0,1.0,0.0134,0.00273,0.0,10
0.34005,0.01,0.01,0.9397,0.001,3.00376,0.88574,6.7691,0.52747,1.49999,0.02107,0.69726,0.40174,0.0009,0.09902,0.63219,0.00013,0.001,0.00303,0.49219,0.00027,0.99807,0.0,0.0,0.0,9
0.36559,0.00835,0.01,0.98,0.00093,3.32805,0.80141,6.7066,0.37941,2.09703,0.00274,0.56008,0.50523,0.0044,0.09356,0.5188,0.0,0.0,0.0,0.5011,0.0,0.97496,0.0,0.00882,0.0,10
0.37598,0.00792,0.01,0.98,0.001,3.5685,0.60049,6.35662,0.43989,2.9228,0.01657,0.69378,0.43146,0.00017,0.10063,0.50331,0.0,0.0,0.00992,0.551,0.0,0.98964,0.0,0.0,0.00512,9
0.34314,0.00795,0.01564,0.97542,0.001,4.41069,0.95,5.33117,0.49477,1.19423,0.00702,0.6429,0.51864,0.00593,0.09761,0.59119,0.00077,0.001,0.00918,0.49873,0.0,0.99613,0.00396,0.00431,0.00349,9
0.36315,0.00765,0.01,0.97387,0.00092,2.49538,0.81352,7.7117,0.37396,1.84092,0.00576,0.48706,0.58055,0.00429,0.09237,0.43553,0.00163,0.0,0.00734,0.55858,0.00706,1.0,0.0,0.00442,0.0,9
0.29189,0.00986,0.01,0.96807,0.00052,2.97391,0.85727,7.28274,0.4235,1.14429,0.01035,0.7255,0.4021,0.0,0.0993,0.57355,6e-05,0.00088,0.01181,0.53832,0.00146,0.99333,0.00266,0.00527,0.00213,8
0.47045,0.00112,0.01236,0.937,0.00054,3.93963,0.88118,6.81965,0.49364,0.99751,0.01522,0.55915,0.40325,0.00304,0.09407,0.70156,0.00162,0.00052,0.0,0.61068,0.0,1.0,0.0,0.00201,0.00425,10
0.33613,0.01,0.01698,0.98,0.00087,2.90088,0.83603,7.29246,0.65075,1.74953,0.01051,0.51479,0.40721,0.00513,0.08066,0.46769,0.00152,0.00031,0.00858,0.4936,0.00172,0.99398,0.0,0.00998,0.0,9
