epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5923,1.83264,4.14894,0.04642,0.44267,0.11485,0.13282,0.04477,2.07133,3.72181,0.06895,0.000313153,0.000313153,0.0804933
2,75.9662,1.67634,2.41409,0.04084,0.54251,0.41286,0.4377,0.17018,1.97924,2.68233,0.06838,0.000627908,0.000627908,0.0608081
3,109.315,1.68651,2.2347,0.04085,0.40733,0.50925,0.42387,0.17285,1.82169,2.19879,0.06267,0.000941411,0.000941411,0.0411216
4,141.072,1.68391,2.16048,0.04262,0.36589,0.45445,0.45834,0.19416,2.1763,2.51185,0.08649,0.00125366,0.00125366,0.0214338
5,174.537,1.66604,2.09119,0.04091,0.42985,0.47012,0.42244,0.15945,1.86237,2.40054,0.0679,0.00156466,0.00156466,0.00174484
6,208.257,1.66801,2.1096,0.04161,0.56149,0.47233,0.46781,0.19795,1.82228,3.31031,0.06155,0.00156436,0.00156436,0.00156436
7,241.767,1.63766,1.97551,0.03962,0.64279,0.45842,0.55568,0.24111,1.71316,1.84815,0.05787,0.00156123,0.00156123,0.00156123
8,275.511,1.63653,1.92268,0.04004,0.71664,0.56704,0.66454,0.31904,1.75083,1.70765,0.05688,0.0015581,0.0015581,0.0015581
9,308.255,1.619,1.84788,0.03942,0.71071,0.64282,0.67021,0.31754,1.74484,1.66452,0.05579,0.00155498,0.00155498,0.00155498
10,341.246,1.63623,1.83952,0.04002,0.65388,0.63038,0.6937,0.30196,1.74997,1.75216,0.0595,0.00155185,0.00155185,0.00155185
11,373.922,1.57194,1.79343,0.03806,0.55615,0.70599,0.69063,0.319,1.79615,1.45072,0.05976,0.00154872,0.00154872,0.00154872
12,407.059,1.61584,1.78821,0.03966,0.59032,0.64399,0.66554,0.3001,1.91078,1.51954,0.06711,0.00154559,0.00154559,0.00154559
13,440.128,1.58049,1.70754,0.03802,0.46079,0.64258,0.55066,0.27311,1.90507,1.56313,0.06585,0.00154246,0.00154246,0.00154246
14,473.626,1.56336,1.7509,0.03792,0.59451,0.56516,0.58216,0.27713,1.78721,1.66299,0.06173,0.00153934,0.00153934,0.00153934
15,506.884,1.56969,1.69443,0.03819,0.76448,0.63284,0.69031,0.33749,1.76058,1.56888,0.05952,0.00153621,0.00153621,0.00153621
16,539.833,1.5563,1.65872,0.03824,0.65226,0.73968,0.73489,0.41682,1.55012,1.29737,0.04814,0.00153308,0.00153308,0.00153308
17,573.368,1.53319,1.62152,0.03709,0.51049,0.64883,0.66521,0.33701,1.68806,1.49367,0.05701,0.00152995,0.00152995,0.00152995
18,606.352,1.55662,1.6445,0.03814,0.68977,0.6871,0.72944,0.32216,1.75002,1.53131,0.06026,0.00152683,0.00152683,0.00152683
19,639.939,1.55149,1.63189,0.03749,0.47319,0.67482,0.67973,0.34804,1.62238,1.39388,0.05364,0.0015237,0.0015237,0.0015237
20,672.208,1.54418,1.62342,0.03708,0.71328,0.65261,0.62619,0.27406,1.75311,1.71986,0.05909,0.00152057,0.00152057,0.00152057
21,706.48,1.52724,1.55319,0.03626,0.66792,0.51499,0.6377,0.33253,1.79254,1.45617,0.05889,0.00151744,0.00151744,0.00151744
22,740.308,1.53469,1.58377,0.037,0.59339,0.63518,0.72381,0.39093,1.609,1.2399,0.05507,0.00151431,0.00151431,0.00151431
23,773.993,1.53308,1.51773,0.037,0.75308,0.73063,0.74525,0.39402,1.59261,1.23542,0.05081,0.00151119,0.00151119,0.00151119
24,807.859,1.50517,1.55327,0.03655,0.6081,0.75323,0.7743,0.37846,1.64169,1.36283,0.0531,0.00150806,0.00150806,0.00150806
25,841.014,1.50488,1.54951,0.03603,0.67379,0.72069,0.7649,0.40768,1.65755,1.16003,0.05485,0.00150493,0.00150493,0.00150493
26,873.818,1.53678,1.53312,0.03697,0.71822,0.65298,0.70084,0.35589,1.60958,1.44445,0.05076,0.0015018,0.0015018,0.0015018
27,907.138,1.52423,1.56406,0.03717,0.64127,0.6915,0.70661,0.38091,1.58563,1.26823,0.05146,0.00149867,0.00149867,0.00149867
28,940.256,1.49651,1.53211,0.03532,0.72948,0.60849,0.70378,0.33901,1.69434,1.33246,0.05462,0.00149555,0.00149555,0.00149555
29,973.645,1.53452,1.51901,0.03744,0.66466,0.76207,0.75027,0.3795,1.59244,1.31957,0.05272,0.00149242,0.00149242,0.00149242
30,1006.95,1.54592,1.53596,0.03698,0.60634,0.73758,0.69747,0.37512,1.70461,1.24473,0.05739,0.00148929,0.00148929,0.00148929
31,1040.52,1.51994,1.52419,0.03625,0.58008,0.65413,0.59016,0.29916,1.67933,1.51348,0.06313,0.00148616,0.00148616,0.00148616
32,1075.99,1.48741,1.51614,0.03561,0.74625,0.61653,0.74174,0.4038,1.52101,1.3099,0.05077,0.00148303,0.00148303,0.00148303
33,1110.51,1.51181,1.50886,0.03606,0.66312,0.76685,0.76314,0.38909,1.63397,1.23745,0.054,0.00147991,0.00147991,0.00147991
34,1143.85,1.48994,1.48357,0.03517,0.61002,0.75472,0.72062,0.41776,1.59782,1.07413,0.05091,0.00147678,0.00147678,0.00147678
35,1178.39,1.48002,1.49091,0.03495,0.78392,0.69822,0.78367,0.39693,1.63342,1.30667,0.05448,0.00147365,0.00147365,0.00147365
36,1212.23,1.46168,1.43888,0.03467,0.76329,0.58038,0.68687,0.40219,1.50323,1.28672,0.04819,0.00147052,0.00147052,0.00147052
37,1246.45,1.48491,1.45883,0.03477,0.61348,0.74242,0.75875,0.40004,1.61102,1.17949,0.05304,0.00146739,0.00146739,0.00146739
38,1280.37,1.47818,1.49738,0.03555,0.58822,0.74979,0.73305,0.36079,1.69059,1.29981,0.05594,0.00146427,0.00146427,0.00146427
39,1314.95,1.48211,1.45703,0.03495,0.64543,0.62057,0.70763,0.3541,1.68301,1.33001,0.05383,0.00146114,0.00146114,0.00146114
40,1349.19,1.5144,1.50988,0.03631,0.67002,0.59869,0.68489,0.36256,1.76751,1.25771,0.05895,0.00145801,0.00145801,0.00145801
41,1383.06,1.48078,1.44373,0.03536,0.59712,0.75952,0.75681,0.40511,1.56655,1.06171,0.04827,0.00145488,0.00145488,0.00145488
42,1416.14,1.48884,1.42957,0.03523,0.57106,0.65567,0.6317,0.32458,1.6323,1.48757,0.05118,0.00145176,0.00145176,0.00145176
43,1448.25,1.46304,1.42277,0.03408,0.83219,0.62858,0.74622,0.38271,1.5671,1.44685,0.05262,0.00144863,0.00144863,0.00144863
44,1482.38,1.46652,1.45056,0.0344,0.84201,0.7022,0.79891,0.41845,1.5852,1.23718,0.05235,0.0014455,0.0014455,0.0014455
