epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.8313,1.80226,5.41811,0.02878,0.39161,0.15668,0.17226,0.10599,1.69867,2.92203,0.03436,0.00990991,0.0033033,0.00990991,0.0033033,0.00990991,0.0033033,0.00990991,0.0033033
2,98.241,1.54444,2.44537,0.02297,0.60617,0.35273,0.38403,0.15478,1.81201,2.43401,0.04005,0.0198705,0.0066235,0.0198705,0.0066235,0.0198705,0.0066235,0.0198705,0.0066235
3,138.57,1.62133,2.00372,0.02447,0.00999,0.36029,0.04277,0.01425,2.87687,4.48608,0.072,0.0297915,0.00993049,0.0297915,0.00993049,0.0297915,0.00993049,0.0297915,0.00993049
4,178.91,1.6952,1.92618,0.02647,0.5165,0.52593,0.51725,0.27399,1.56447,1.81015,0.03155,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,218.188,1.65711,1.83593,0.02552,0.63007,0.51717,0.55739,0.27927,1.76858,1.86458,0.0374,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,258.407,1.65167,1.7621,0.02568,0.44139,0.52894,0.49954,0.21132,1.96456,1.70922,0.04406,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,297.512,1.6352,1.67424,0.02512,0.59955,0.49436,0.53548,0.23977,1.95972,1.97347,0.04225,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,336.248,1.59735,1.6478,0.02422,0.69752,0.58012,0.71968,0.35797,1.63017,1.2957,0.03571,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,373.644,1.58622,1.66997,0.02412,0.77285,0.2228,0.2891,0.10753,2.32855,2.72543,0.05634,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,410.735,1.60051,1.58898,0.02411,0.39876,0.56803,0.54932,0.29826,1.73376,1.65782,0.03381,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,447.581,1.57512,1.59177,0.02412,0.66065,0.58013,0.66297,0.34841,1.7822,1.62115,0.03813,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,484.859,1.56488,1.58617,0.02391,0.64652,0.28827,0.38686,0.18962,2.01085,2.77819,0.04182,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,522.377,1.5559,1.54775,0.02361,0.52748,0.23022,0.22778,0.07888,2.26403,4.21474,0.04983,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,558.712,1.56642,1.50782,0.02347,0.60677,0.4415,0.40045,0.18108,1.91868,2.30986,0.0416,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,595.524,1.55423,1.4924,0.02355,0.12538,0.5629,0.32131,0.14439,2.16173,3.47206,0.05234,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,631.792,1.54226,1.4805,0.02354,0.51124,0.26445,0.33046,0.14691,2.06023,3.1341,0.04291,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,668.495,1.54471,1.48997,0.02272,0.59585,0.2961,0.35163,0.17462,2.10089,2.9129,0.05274,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,705.051,1.52225,1.4389,0.02248,0.66973,0.68939,0.74316,0.37554,1.64708,1.34502,0.03234,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,741.909,1.53044,1.42107,0.02299,0.51685,0.6545,0.65065,0.34014,1.78455,1.33426,0.03485,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,778.521,1.50634,1.44714,0.02214,0.6647,0.56958,0.63536,0.36175,1.60169,1.48536,0.03401,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
